ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences
AAF81662__AF204166.2	AF204166.2_Retroperitoneal fibromatosis-associated herpesvirus	111469	Retroperitoneal fibromatosis-associated herpesvirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8	AF204166.2	Rhadinovirus	Human gammaherpesvirus 8	AF204166.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8	AAF81662	AF204166.2	AAF81662,AGY30688
AMB16939__KT324748.1	KT324748.1_Equid alphaherpesvirus 4	10331	Equid alphaherpesvirus 4	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	KT324748.1	Varicellovirus	Varicellovirus	KT324748.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	AMB16939	KT324748.1	AMB16939,AMB16860,AMB16781,AMB16702,AMB16623,AMB16544,AMB16465,AMB16386,AMB16307,AMB16228,AMB16149,AMB16070,AMB15991,AMB15912,BAV93632,BAV93553,BAV93474,BAV93395,BAV93316,BAV93237,BAV93158,BAV93079,AGZ94835,AGZ94834,AGZ94833,AGZ94832,AGZ94831,NP_045247,AAC59546
YP_073778__AF037218	AF037218_Human betaherpesvirus 7	10372	Human betaherpesvirus 7	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus	AF037218	Roseolovirus	Roseolovirus	AF037218_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus	YP_073778	AF037218	YP_073778,AIN81107,AIN81106,AIN81105,AIN81104,AIN81103,AIN81102,AIN81101,AIN81100,AIN81099,AIN81094,AIN81092,AIN81090,AIN81087,AGV28662,AAC40752,P52342,AAC54700,AIN81110
AMA67369__KU220026.1	KU220026.1_Myotis gammaherpesvirus 8	1780507	Myotis gammaherpesvirus 8	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	KU220026.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	KU220026.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AMA67369	KU220026.1	AMA67369,YP_009229846
Q69025__undef	undef_Guinea pig cytomegalovirus (strain 22122 / ATCC VR682) (GPCMV)	103920	Guinea pig cytomegalovirus (strain 22122 / ATCC VR682) (GPCMV)	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;unassigned Betaherpesvirinae;Caviid betaherpesvirus 2	undef	unassigned Betaherpesvirinae	Caviid betaherpesvirus 2	undef_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;unassigned Betaherpesvirinae;Caviid betaherpesvirus 2	Q69025	undef	Q69025,CDI95399,YP_007417829,AGE11533,BAJ78522,2116347B
ADE62355__GU017485.1	GU017485.1_Mus musculus cytomegalovirus 2	752241	Mus musculus cytomegalovirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	GU017485.1	Cytomegalovirus	unclassified Cytomegalovirus	GU017485.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	ADE62355	GU017485.1	ADE62355
YP_009344882__KY355735	KY355735_Murine roseolovirus	1940555	Murine roseolovirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus;unclassified Roseolovirus	KY355735	Roseolovirus	unclassified Roseolovirus	KY355735_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus;unclassified Roseolovirus	YP_009344882	KY355735	YP_009344882,APZ76266
AMB65848__KU310660.1	KU310660.1_Human alphaherpesvirus 1	10298	Human alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	KU310660.1	Simplexvirus	Simplexvirus	KU310660.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	AMB65848	KU310660.1	AMB65848,AMB65701,AMB65628,AMB65775
YP_004207849__HQ221963	HQ221963_Cricetid gammaherpesvirus 2	1605972	Cricetid gammaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus	HQ221963	Rhadinovirus	Rhadinovirus	HQ221963_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus	YP_004207849	HQ221963	YP_004207849,ADW24436,ADW24354
ADY62519__FJ538490.2	FJ538490.2_Gorilla gorilla cytomegalovirus 2.1	660662	Gorilla gorilla cytomegalovirus 2.1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	FJ538490.2	Cytomegalovirus	unclassified Cytomegalovirus	FJ538490.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	ADY62519	FJ538490.2	ADY62519
YP_009173887__KT595939	KT595939_Felis catus gammaherpesvirus 1	1452540	Felis catus gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	KT595939	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	KT595939_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	YP_009173887	KT595939	YP_009173887,ALE14722,AHH02043,ALB06099,AHH02045
Q6UDK1__undef	undef_Psittacid herpesvirus 1 Amazon parrot/1997	670426	Psittacid herpesvirus 1 Amazon parrot/1997	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Iltovirus;Psittacid alphaherpesvirus 1	undef	Iltovirus	Psittacid alphaherpesvirus 1	undef_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Iltovirus;Psittacid alphaherpesvirus 1	Q6UDK1	undef	Q6UDK1,NP_944403,AAQ73709
BAP00709__AB825953.1	AB825953.1_Fruit bat alphaherpesvirus 1	1343901	Fruit bat alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;unclassified Simplexvirus	AB825953.1	Simplexvirus	unclassified Simplexvirus	AB825953.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;unclassified Simplexvirus	BAP00709	AB825953.1	BAP00709,YP_009042092
ADY80543__HM014314.1	HM014314.1_Type 2 ruminant rhadinovirus of mule deer	227127	Type 2 ruminant rhadinovirus of mule deer	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus;Type 2 ruminant rhadinovirus	HM014314.1	Rhadinovirus	Type 2 ruminant rhadinovirus	HM014314.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus;Type 2 ruminant rhadinovirus	ADY80543	HM014314.1	ADY80543
ABU52901__EU085380.1	EU085380.1_Sorex araneus gammaherpesvirus 1	462298	Sorex araneus gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	EU085380.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	EU085380.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	ABU52901	EU085380.1	ABU52901
APO15885__KU936049.1	KU936049.1_Bubaline alphaherpesvirus 1	202910	Bubaline alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	KU936049.1	Varicellovirus	Varicellovirus	KU936049.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	APO15885	KU936049.1	APO15885,ART33253,YP_003662494,AAR86131,ALR87795,AIQ80750,AIQ80680,AIQ80610,AFV53388,APW77353,NP_045328,AIQ80820,CAA06103,CAB01595,CAA64335
AAF16520__AF478169.1	AF478169.1_Porcine lymphotropic herpesvirus 1	91740	Porcine lymphotropic herpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus;Suid gammaherpesvirus 3	AF478169.1	Macavirus	Suid gammaherpesvirus 3	AF478169.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus;Suid gammaherpesvirus 3	AAF16520	AF478169.1	AAF16520,AAF16522,AAO12354,AAO12282
AFR11403__JX220982.1	JX220982.1_Ursid gammaherpesvirus 1	1226368	Ursid gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	JX220982.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	JX220982.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AFR11403	JX220982.1	AFR11403
YP_009230161__JQ596859	JQ596859_Leporid alphaherpesvirus 4	481315	Leporid alphaherpesvirus 4	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	JQ596859	Simplexvirus	Simplexvirus	JQ596859_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	YP_009230161	JQ596859	YP_009230161,AFR32472
ARE29832__KY057364.1	KY057364.1_Canid alphaherpesvirus 1	170325	Canid alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	KY057364.1	Varicellovirus	Varicellovirus	KY057364.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	ARE29832	KY057364.1	ARE29832,AQX83341,YP_009252254,ALL26060,ALL25984,ALL25904
NP_612698__AF480884	AF480884_Panine betaherpesvirus 2	188763	Panine betaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus	AF480884	Cytomegalovirus	Cytomegalovirus	AF480884_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus	NP_612698	AF480884	NP_612698,AAM00704,ADY62511
O36363__undef	undef_Alcelaphine herpesvirus 1 strain C500	654901	Alcelaphine herpesvirus 1 strain C500	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus;Alcelaphine gammaherpesvirus 1	undef	Macavirus	Alcelaphine gammaherpesvirus 1	undef_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus;Alcelaphine gammaherpesvirus 1	O36363	undef	O36363,NP_065512,AAC58060,ATI21900,APB09510,APB09438,YP_009044396,AIA62050
AAM89278__AY129395.2	AY129395.2_Gorilla gorilla lymphocryptovirus 2	203136	Gorilla gorilla lymphocryptovirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus;unclassified Lymphocryptovirus;lymphocryptovirus 2	AY129395.2	Lymphocryptovirus	lymphocryptovirus 2	AY129395.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus;unclassified Lymphocryptovirus;lymphocryptovirus 2	AAM89278	AY129395.2	AAM89278
YP_009352938__KX589235	KX589235_Columbid alphaherpesvirus 1	93386	Columbid alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus	KX589235	Mardivirus	Mardivirus	KX589235_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus	YP_009352938	KX589235	YP_009352938,ARD71355,AJT58581,YP_009046528,AID52734,AAD30145,AGT28256
AAM89279__AY129396.2	AY129396.2_Pongo pygmaeus cytomegalovirus 1	203138	Pongo pygmaeus cytomegalovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	AY129396.2	Cytomegalovirus	unclassified Cytomegalovirus	AY129396.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	AAM89279	AY129396.2	AAM89279
AKP92777__KP260923.1	KP260923.1_Rupicapra pyrenaica gammaherpesvirus 1	1647106	Rupicapra pyrenaica gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	KP260923.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	KP260923.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AKP92777	KP260923.1	AKP92777,ABI21850
YP_009118399__KM924295	KM924295_Equid gammaherpesvirus 5	10371	Equid gammaherpesvirus 5	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Percavirus	KM924295	Percavirus	Percavirus	KM924295_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Percavirus	YP_009118399	KM924295	YP_009118399,AIU39536,ACY71882,ACY71883
AUB51199__MF431496.1	MF431496.1_Gallid alphaherpesvirus 2	10390	Gallid alphaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus	MF431496.1	Mardivirus	Mardivirus	MF431496.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus	AUB51199	MF431496.1	AUB51199,AUB51114,AUB51029,AUB50944,Q9E6N9,ARE59077,AQN78166,AQN77994,AQN77821,AQN77643,AQN77472,AQN77296,AQN77122,ALX81095,ALX80977,AFM75526,AFM75348,AFM75167,AFM74980,AFM74790,AFM74603,AFX97946,YP_001033959,AEZ51688,AEV55010,ACF94912,AAG14223,ABR13112,AAS01671,ABF72268,AAF66765,AAA79862,2115435A
P28858__undef	undef_Equine herpesvirus type 1 (strain AB4P)	31520	Equine herpesvirus type 1 (strain AB4P)	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus;Equid alphaherpesvirus 1	undef	Varicellovirus	Equid alphaherpesvirus 1	undef_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus;Equid alphaherpesvirus 1	P28858	undef	P28858,AMB15810,AMB15731,AMB15652,AMB15573,AMB15494,AMB15415,AMB15336,AMB15256,AMB15177,AMB15098,AMB15019,Q6S6P1,BAX36426,AMD81993,AOS50784,AOS50782,AOS50781,AOS50780,AKQ19073,AHN10530,AHN10494,AHN10533,AHN10532,AHN10531,AHN10529,AHN10528,AHN10527,AHN10526,AHN10525,AHN10524,AHN10523,AHN10522,AHN10521,AHN10520,AHN10519,AHN10518,AHN10517,AHN10516,AHN10515,AHN10514,AHN10513,AHN10512,AHN10511,AHN10510,AHN10509,AHN10508,AHN10507,AHN10506,AHN10505,AHN10504,AHN10503,AHN10502,AHN10501,AHN10500,AHN10499,AHN10498,AHN10497,AHN10496,AHN10495,AHN10493,AHN10492,AHN10491,AHN10490,AHN10489,AHN10488,AHN10487,AHN10486,AHN10485,AHN10484,AHN10483,AHN10482,AHN10481,AHN10480,AHN10479,AHN10478,AHN10477,AHN10476,AHN10475,AHN10474,AHN10473,AHN10472,AHN10471,AHN10470,BAR43394,AII81683,AII81603,AII81523,AII81443,AII81124,AII81044,AII80964,AII80884,AII80804,AII80724,AII80643,AHA56675,AHA56674,AII81761,AII81363,AII81283,AII81204,AGZ94829,AGZ94828,AGZ94827,AGZ94826,AGZ94825,AGZ94824,AGZ94823,AGZ94822,AGZ94821,AGZ94820,AGZ94819,AGZ94818,AGZ94817,BAM75880,YP_002333511,YP_006273009,YP_053075,AFI33165,AAS45914,AAT67287,BAH02455,AGZ94830,AGZ94836
BAH57334__AB490083.2	AB490083.2_Hipposideros diadema herpesvirus	562746	Hipposideros diadema herpesvirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;unclassified Herpesviridae	AB490083.2	undef	unclassified Herpesviridae	AB490083.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;unclassified Herpesviridae	BAH57334	AB490083.2	BAH57334
CAB61753__AJ251573.1	AJ251573.1_Chlorocebus rhadinovirus 1	109047	Chlorocebus rhadinovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8	AJ251573.1	Rhadinovirus	Human gammaherpesvirus 8	AJ251573.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8	CAB61753	AJ251573.1	CAB61753
YP_004940081__FJ483970	FJ483970_Aotine betaherpesvirus 1	50290	Aotine betaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus	FJ483970	Cytomegalovirus	Cytomegalovirus	FJ483970_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus	YP_004940081	FJ483970	YP_004940081,AEV80760
AGG16071__KC618527.1	KC618527.1_Elephant endotheliotropic herpesvirus 1A	759753	Elephant endotheliotropic herpesvirus 1A	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Proboscivirus;Elephantid betaherpesvirus 1	KC618527.1	Proboscivirus	Elephantid betaherpesvirus 1	KC618527.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Proboscivirus;Elephantid betaherpesvirus 1	AGG16071	KC618527.1	AGG16071,YP_007969814,AGE10031,AEM72550,AEM72546,AEM72544,AEM72538,AEM72536,AEM72534,AEM72532,ADK70825,ADK70786,Q9DKT8,AGE09922,ADK70892,AAG41999,AEM72566,AEM72552,AEM72548,AEM72540,AEM72554,ALL27040,APG41593,ALX35638,AEM72574,AEM72568,AEM72576,AEM72570,AEM72564,AEM72561,AEM72559,AIH00839,AEM72572,AEM72530,AEM72526,ADK70862,AEM72542,AEM72528
AEA39187__JF705865.1	JF705865.1_Procavia capensis gammaherpesvirus 2	1000652	Procavia capensis gammaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	JF705865.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	JF705865.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AEA39187	JF705865.1	AEA39187
AIA82756__KC999113.1	KC999113.1_Bovine gammaherpesvirus 4	10385	Bovine gammaherpesvirus 4	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus	KC999113.1	Rhadinovirus	Rhadinovirus	KC999113.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus	AIA82756	KC999113.1	AIA82756,NP_076501,AEL29753,AAK07928
ADK70918__HM568558.1	HM568558.1_Elephant endotheliotropic herpesvirus 2	759755	Elephant endotheliotropic herpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Proboscivirus;unclassified Proboscivirus	HM568558.1	Proboscivirus	unclassified Proboscivirus	HM568558.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Proboscivirus;unclassified Proboscivirus	ADK70918	HM568558.1	ADK70918,AFF59807
AAM62282__AF376034.1	AF376034.1_Mustelid gammaherpesvirus 1	311179	Mustelid gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Percavirus	AF376034.1	Percavirus	Percavirus	AF376034.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Percavirus	AAM62282	AF376034.1	AAM62282,AAL55728
ABO40780__EF125064.1	EF125064.1_Apodemus flavicollis cytomegalovirus 3	456833	Apodemus flavicollis cytomegalovirus 3	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	EF125064.1	Cytomegalovirus	unclassified Cytomegalovirus	EF125064.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	ABO40780	EF125064.1	ABO40780
NP_047983__AF083424	AF083424_Ateline gammaherpesvirus 3	85618	Ateline gammaherpesvirus 3	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus	AF083424	Rhadinovirus	Rhadinovirus	AF083424_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus	NP_047983	AF083424	NP_047983,AAC95533
P24907__undef	undef_Herpesvirus saimiri (strain 11)	10383	Herpesvirus saimiri (strain 11)	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Saimiriine gammaherpesvirus 2	undef	Rhadinovirus	Saimiriine gammaherpesvirus 2	undef_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Saimiriine gammaherpesvirus 2	P24907	undef	P24907,NP_040211,AAA46165,CAA45632,CAC84304,DJBEM2
NP_066862__AB049735	AB049735_Gallid alphaherpesvirus 3	35250	Gallid alphaherpesvirus 3	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus	AB049735	Mardivirus	Mardivirus	AB049735_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus	NP_066862	AB049735	NP_066862,BAB16540,BAA82926,BAA78719
AEM72555__JF692762.2	JF692762.2_Elephant endotheliotropic herpesvirus 6	768739	Elephant endotheliotropic herpesvirus 6	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Proboscivirus;unclassified Proboscivirus	JF692762.2	Proboscivirus	unclassified Proboscivirus	JF692762.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Proboscivirus;unclassified Proboscivirus	AEM72555	JF692762.2	AEM72555,AEM72562
AHH02047__KF840717.1	KF840717.1_Puma concolor gammaherpesvirus 1	1452542	Puma concolor gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	KF840717.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	KF840717.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AHH02047	KF840717.1	AHH02047
ABO40783__EF125067.1	EF125067.1_Bandicota indica cytomegalovirus 3	431623	Bandicota indica cytomegalovirus 3	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	EF125067.1	Cytomegalovirus	unclassified Cytomegalovirus	EF125067.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	ABO40783	EF125067.1	ABO40783
AAF80111__AF268042.1	AF268042.1_Suid betaherpesvirus 2	1608255	Suid betaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;unassigned Betaherpesvirinae	AF268042.1	unassigned Betaherpesvirinae	unassigned Betaherpesvirinae	AF268042.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;unassigned Betaherpesvirinae	AAF80111	AF268042.1	AAF80111,AAF80109,AAF80108,AAF80107,YP_008492977,AGT99232,AEI71773,AEI71770,ADV78258
NP_044849__U97553	U97553_Murid gammaherpesvirus 4	33708	Murid gammaherpesvirus 4	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus	U97553	Rhadinovirus	Rhadinovirus	U97553_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus	NP_044849	U97553	NP_044849,AAF19277,AAK16702,AAB66388,ABO48392,ACY41087,ABN49965,ABH08756
AAT79466__AY571851.1	AY571851.1_Vulture herpesvirus	285986	Vulture herpesvirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;unclassified Alphaherpesvirinae	AY571851.1	unclassified Alphaherpesvirinae	unclassified Alphaherpesvirinae	AY571851.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;unclassified Alphaherpesvirinae	AAT79466	AY571851.1	AAT79466
NP_733857__AF319782	AF319782_Callitrichine gammaherpesvirus 3	106331	Callitrichine gammaherpesvirus 3	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus	AF319782	Lymphocryptovirus	Lymphocryptovirus	AF319782_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus	NP_733857	AF319782	NP_733857,AAK38212,ADY05322
