ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
ALT55206__KU295523.1	KU295523.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KU295523.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KU295523.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ALT55206	KU295523.1	ALT55206,ALT55194,ALT55193,ACY54678,CAA54355,ATX68199,ATX68198,AME15916	ALT55206__KU295523.1_Species 21
AWB14590__MF175080.1	MF175080.1_Murine bocavirus	2171381	Murine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF175080.1	Bocaparvovirus	unclassified Bocaparvovirus	MF175080.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AWB14590	MF175080.1	AWB14590	AWB14590__MF175080.1_Species 9
AUW64490__MG136722.1	MG136722.1_Equine parvovirus H	2079554	Equine parvovirus H	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	MG136722.1	unclassified Parvovirinae	unclassified Parvovirinae	MG136722.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AUW64490	MG136722.1	AUW64490	AUW64490__MG136722.1_Species 2
ALT55209__KU295526.1	KU295526.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KU295526.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KU295526.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ALT55209	KU295526.1	ALT55209	ALT55209__KU295526.1_Species 21
YP_009241376__LC085675	LC085675_Megabat bufavirus 1	1756191	Megabat bufavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Chiropteran protoparvovirus 1	LC085675	Protoparvovirus	Chiropteran protoparvovirus 1	LC085675_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Chiropteran protoparvovirus 1	YP_009241376	LC085675	YP_009241376,BAU69604,BAU69607,BAU69603,BAU69602,BAU69601,BAU69600,BAU69599,BAU69597,BAU69596	YP_009241376__LC085675_Species 19
ATI09457__MF593479.1	MF593479.1_Camel bocavirus 3	2036691	Camel bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF593479.1	Bocaparvovirus	unclassified Bocaparvovirus	MF593479.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATI09457	MF593479.1	ATI09457	ATI09457__MF593479.1_Species 9
AFD01617__JN798211.1	JN798211.1_Parvovirus 4-like MK-2012	1157691	Parvovirus 4-like MK-2012	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	JN798211.1	Protoparvovirus	unclassified Protoparvovirus	JN798211.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AFD01617	JN798211.1	AFD01617	AFD01617__JN798211.1_Species 6
AIW53333__KM254174.1	KM254174.1_Protoparvovirus HK-2014	1566336	Protoparvovirus HK-2014	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KM254174.1	Protoparvovirus	unclassified Protoparvovirus	KM254174.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AIW53333	KM254174.1	AIW53333	AIW53333__KM254174.1_Species 17
YP_009315890__KU321655	KU321655_Rhinolophus sinicus bocaparvovirus	1911555	Rhinolophus sinicus bocaparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KU321655	Bocaparvovirus	unclassified Bocaparvovirus	KU321655_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009315890	KU321655	YP_009315890,AOX47687,AOX47682,AOX47677,AOX47672,AOX47667,AOX47662,AOX47657,AOX47652,AOX47647,AOX47642	YP_009315890__KU321655_Species 9
AEI99166__HQ291308.1	HQ291308.1_Porcine bocavirus H18	1511887	Porcine bocavirus H18	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 4	HQ291308.1	Bocaparvovirus	Ungulate bocaparvovirus 4	HQ291308.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 4	AEI99166	HQ291308.1	AOZ60499,AOZ60495,AOZ60493,AOZ60492,AEI99166	AEI99166__HQ291308.1_Species 9
ADF32027__GU938300.1	GU938300.1_Parvovirus YX-2010/CHN	754189	Parvovirus YX-2010/CHN	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 3;Porcine Cnvirus	GU938300.1	Tetraparvovirus	Porcine Cnvirus	GU938300.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 3;Porcine Cnvirus	ADF32027	GU938300.1	ADF32027,AWO81953,AWO81951,AWO81949,AWO81947,AWO81945,AWO81943,AWO81941,ATE46003,YP_009389278,AOZ16746,APR64506,APR64504,AOT82269,YP_009112878,AIZ07779,AKR53678,BAP28820,AGO88184,AGO88183,AGO88182,AFQ55394,AFQ55392,ADF32029,ADF32025,BAB87765,ADF32027	ADF32027__GU938300.1_Species 4
AAF61212__AF221122.1	AF221122.1_Rhesus macaque parvovirus	119756	Rhesus macaque parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 3	AF221122.1	Erythroparvovirus	Primate erythroparvovirus 3	AF221122.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 3	AAF61212	AF221122.1	AAF61212	AAF61212__AF221122.1_Species 23
AFK85003__JQ814850.1	JQ814850.1_Myotis myotis bocavirus 1	1195367	Myotis myotis bocavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Chiropteran bocaparvovirus 1	JQ814850.1	Bocaparvovirus	Chiropteran bocaparvovirus 1	JQ814850.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Chiropteran bocaparvovirus 1	AFK85003	JQ814850.1	AFK85003	AFK85003__JQ814850.1_Species 11
AAC03775__AF043303.1	AF043303.1_Adeno-associated virus - 2	10804	Adeno-associated virus - 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A	AF043303.1	Dependoparvovirus	Adeno-associated dependoparvovirus A	AF043303.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A	AAC03775	AF043303.1	Q89268,SGZ41872,SCV75353,SCV75186,YP_680423,CAX48898,CCE46057,AAU05367,AAU05365,AAU05363,AAU05361,AAU05359,AAC03775,AAA42374,CBF14054,CAY32649,CAT03376,CAC39573,P03132,AAA42372,ASW20945,Q89270,SGZ41871,YP_680425,CAX48897,AAC03777,AAA42375,CBF14052,ASW20944,Q89269,YP_680424,AAC03776,AAA42373	AAC03775__AF043303.1_Species 26
AAF61213__AF221123.1	AF221123.1_Pig-tailed macaque parvovirus	119755	Pig-tailed macaque parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 4	AF221123.1	Erythroparvovirus	Primate erythroparvovirus 4	AF221123.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 4	AAF61213	AF221123.1	AAF61213	AAF61213__AF221123.1_Species 23
ACR15767__FJ973558.1	FJ973558.1_Human bocavirus 2a TU	1511880	Human bocavirus 2a TU	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	FJ973558.1	Bocaparvovirus	Primate bocaparvovirus 2	FJ973558.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	ACR15767	FJ973558.1	ACR15774,ACR15763,ACR15768,ARQ18931,ARQ18926,AVI59252,AVR48528,AUF34959,AUF34947,AUF34943,ASW21300,ASU91617,ARS03591,ARQ18927,ARQ18922,YP_002586773,AJE63441,AJE63437,AJD85769,AJD85761,YP_002916060,ACR15778,ACR15773,ACR15767,ACJ38931,AGI99539,AGC92302,AGC92298,AFW98866,ACP39935,ADB77897,ADB77893,ADD39261,ADD39257,ADD39253,ACR15772,ACS74733,ACR43448,ABW79861,ABW79865,ACJ38939,ACJ38935	ACR15767__FJ973558.1_Species 10
AFV48069__JX627576.1	JX627576.1_Wuharv parvovirus 1	1245561	Wuharv parvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Primate protoparvovirus 2	JX627576.1	Protoparvovirus	Primate protoparvovirus 2	JX627576.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Primate protoparvovirus 2	AFV48069	JX627576.1	AFV48069	AFV48069__JX627576.1_Species 19
AWB14637__MF416383.1	MF416383.1_Murine adeno-associated virus 1	2171377	Murine adeno-associated virus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	MF416383.1	Dependoparvovirus	unclassified Dependoparvovirus	MF416383.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AWB14637	MF416383.1	AWB14637	AWB14637__MF416383.1_Species 26
ATJ03467__MF285607.1	MF285607.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	MF285607.1	Amdoparvovirus	Carnivore amdoparvovirus 1	MF285607.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ATJ03467	MF285607.1	ATJ03467,ARO85894,ALT55204,ALT55203,ALT55202,ALT55201,ALT55200	ATJ03467__MF285607.1_Species 21
YP_009361877__KX981923	KX981923_Skunk amdoparvovirus	1961072	Skunk amdoparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 4	KX981923	Amdoparvovirus	Carnivore amdoparvovirus 4	KX981923_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 4	YP_009361877	KX981923	YP_009361877,AQS80366,AQS80317,AQS80312,AQS80307,AQS80302,AQS80287,AQS80365,AQS80362,AQS80361,AQS80360,AQS80359,AQS80358,AQS80357,AQS80349,AQS80348,AQS80347,AQS80346,AQS80345,AQS80344,AQS80343,AQS80342,AQS80340,AQS80338,AQS80337,AQS80334,AQS80330	YP_009361877__KX981923_Species 21
AQX45759__KX343069.1	KX343069.1_Bat bocavirus	1329649	Bat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KX343069.1	Bocaparvovirus	unclassified Bocaparvovirus	KX343069.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AQX45759	KX343069.1	AQX45759,AIF74223	AQX45759__KX343069.1_Species 9
AKI82155__KR261072.1	KR261072.1_Parvovirus fur seal/ATROP41/BR/2012	1659801	Parvovirus fur seal/ATROP41/BR/2012	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KR261072.1	unclassified Parvovirinae	unclassified Parvovirinae	KR261072.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AKI82155	KR261072.1	AKI82155	AKI82155__KR261072.1_Species 19
AAL09671__AF406966.1	AF406966.1_Bovine parvovirus - 2	172296	Bovine parvovirus - 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 1	AF406966.1	Copiparvovirus	Ungulate copiparvovirus 1	AF406966.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 1	AAL09671	AF406966.1	AXF37457,AUS83809,APC23634,ALN66860,AJE25859,YP_077175,AAL09671	AAL09671__AF406966.1_Species 2
AWB14639__MF416384.1	MF416384.1_Murine adeno-associated virus 2	2171378	Murine adeno-associated virus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	MF416384.1	Dependoparvovirus	unclassified Dependoparvovirus	MF416384.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AWB14639	MF416384.1	AWB14639	AWB14639__MF416384.1_Species 26
ADI60252__HM053693.2	HM053693.2_Porcine bocavirus 1 pig/ZJD/China/2006	795694	Porcine bocavirus 1 pig/ZJD/China/2006	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2;Porcine bocavirus 1	HM053693.2	Bocaparvovirus	Porcine bocavirus 1	HM053693.2_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2;Porcine bocavirus 1	ADI60252	HM053693.2	AIY27465,AGS15089,AGS15065,AGS15061,AXF54185,AOZ60498,AOZ60496,ANF16415,YP_009046822,ADI60256,ADI60252,AIH14829,AEI99170,AHK27008,AGS15045,AGS15049,AGS15081,ADI60252,AGS15073,AGS15042,AHK27005	ADI60252__HM053693.2_Species 9
AAL09673__AF406967.1	AF406967.1_Bovine parvovirus 3	172297	Bovine parvovirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Ungulate erythroparvovirus 1	AF406967.1	Erythroparvovirus	Ungulate erythroparvovirus 1	AF406967.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Ungulate erythroparvovirus 1	AAL09673	AF406967.1	YP_009465713,AUS83807,AUS83805,AAL09673,AVR53764	AAL09673__AF406967.1_Species 24
AQR59123__KX133426.1	KX133426.1_Chicken parvovirus	1136878	Chicken parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1	KX133426.1	Aveparvovirus	Galliform aveparvovirus 1	KX133426.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1	AQR59123	KX133426.1	AQR59123,AQR59100,AQR59125,AQR59119,AIW53329,AJB28748,AJB28740	AQR59123__KX133426.1_Species 16
ADP36995__HQ223038.1	HQ223038.1_Bocavirus pig/SX/China/2010	912967	Bocavirus pig/SX/China/2010	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 3;Porcine bocavirus SX	HQ223038.1	Bocaparvovirus	Porcine bocavirus SX	HQ223038.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 3;Porcine bocavirus SX	ADP36995	HQ223038.1	AWW25135,AIH14826,AGJ70269,AVP32217,BAU68097,AKT09389,ADP36995,AHK27002	ADP36995__HQ223038.1_Species 9
AVR53758__MG745677.1	MG745677.1_Desmodus rotundus dependoparvovirus	2137542	Desmodus rotundus dependoparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	MG745677.1	Dependoparvovirus	unclassified Dependoparvovirus	MG745677.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AVR53758	MG745677.1	AVR53758	AVR53758__MG745677.1_Species 26
ASC49334__KY640430.1	KY640430.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640430.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640430.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49334	KY640430.1	ASC49334,ASC49282,YP_009389292,ASC49330,ASC49310,ASC49306,ASC49298,ASC49290	ASC49334__KY640430.1_Species 7
AIF74245__KJ641683.1	KJ641683.1_Bat parvovirus	1514704	Bat parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KJ641683.1	unclassified Parvovirinae	unclassified Parvovirinae	KJ641683.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AIF74245	KJ641683.1	AIF74245	AIF74245__KJ641683.1_Species 19
AIE58040__KM035804.1	KM035804.1_Sesavirus CSL10538	1519097	Sesavirus CSL10538	Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae	KM035804.1	undef	unclassified Parvoviridae	KM035804.1_Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae	AIE58040	KM035804.1	AIE58040	AIE58040__KM035804.1_Species 1
AAC40229__U44978.1	U44978.1_Porcine parvovirus	10796	Porcine parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 1	U44978.1	Protoparvovirus	Ungulate protoparvovirus 1	U44978.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 1	AAC40229	U44978.1	AWN64473,ASA47653,P52502,ANZ52450,ANW48425,NP_757369,ADO22679,AIW62934,AHW51113,AHW51108,AHB30930,AHF27786,AHF27780,AHF27774,AHF27768,AHF27762,AHF27756,AHF27750,AGZ94855,AGZ94850,AGZ94845,AGZ94840,AFV80685,AGK90259,AFZ93390,AFR43262,AFV25452,AFK84428,AFK84427,AFK84426,AFK84425,AFK84424,AFK84423,AFK84422,AFK84421,AFB74130,AEZ57103,AEL21984,AEL21983,AEL21982,AEL21981,AEL21980,AEL21973,AEL21968,AEL21963,AEL21958,ADP88737,ADP88735,ADN94639,ADN94634,ADN94629,ADN94624,ADN94621,ADN94614,ADN94611,ADN94604,ADN94601,ADN94593,ADN94588,ADN94583,ADN94578,AAV54192,AAV54191,AAV54190,AAR91039,AAC40229,AAA46920,ADI82844,ACF39503,AAQ90279,ABG78609,AAV92686,AAV92673,ABF57235,ACF39498,ACO92360,ACO53211,ACO53208,AAS93262,ACD45683,AAV92681,AAV92662,AAU86905,P18547,BAA00501,AFV25462,AFV25460,AFV25458,AFV25456,AFV25454,AAV92680,AIW06649	AAC40229__U44978.1_Species 18
AFH96872__JQ692585.1	JQ692585.1_Feline bocavirus	1174530	Feline bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3	JQ692585.1	Bocaparvovirus	Carnivore bocaparvovirus 3	JQ692585.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3	AFH96872	JQ692585.1	APV46193,AKI88073,AII82254,YP_006272944,AFH96880,AFH96876,AFH96872	AFH96872__JQ692585.1_Species 9
AOX47681__KU321654.1	KU321654.1_Miniopterus schreibersii bat bocavirus	1911554	Miniopterus schreibersii bat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Chiropteran bocaparvovirus 4	KU321654.1	Bocaparvovirus	Chiropteran bocaparvovirus 4	KU321654.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Chiropteran bocaparvovirus 4	AOX47681	KU321654.1	AOX47681,AOX47676,AOX47671,AOX47666,AOX47661,AOX47656,AOX47651,AOX47641,YP_009315891,AOX47686,AOX47646	AOX47681__KU321654.1_Species 9
BAS32608__AB982223.1	AB982223.1_Bufavirus-3	1391667	Bufavirus-3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AB982223.1	unclassified Parvovirinae	unclassified Parvovirinae	AB982223.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	BAS32608	AB982223.1	BAS32608,BAS32605,BAS32602,BAS32599,BAS32595,YP_009058894,BAO56910,BAO56906,BAO56902,AFN44276,BAS32598,AIU47672,AFN44273,AFN44270,AFN44267,AIU47675,AIA23800	BAS32608__AB982223.1_Species 19
AEM37593__JN420361.1	JN420361.1_California sea lion bocavirus 1	1073959	California sea lion bocavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 1	JN420361.1	Bocaparvovirus	Pinniped bocaparvovirus 1	JN420361.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 1	AEM37593	JN420361.1	AEM37597,AEM37610,AEM37601,AEM37593,AEM37589	AEM37593__JN420361.1_Species 9
CAA66227__X97629.1	X97629.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	X97629.1	Amdoparvovirus	Carnivore amdoparvovirus 1	X97629.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	CAA66227	X97629.1	CAA66227,ATX68200	CAA66227__X97629.1_Species 21
AQS80292__KX981921.1	KX981921.1_Skunk amdoparvovirus	1961072	Skunk amdoparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 4	KX981921.1	Amdoparvovirus	Carnivore amdoparvovirus 4	KX981921.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 4	AQS80292	KX981921.1	AQS80292	AQS80292__KX981921.1_Species 21
ATD50845__MF085373.1	MF085373.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF085373.1	Bocaparvovirus	unclassified Bocaparvovirus	MF085373.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATD50845	MF085373.1	ATD50845,AVW82272,AVW82264,AWB14577,AVW82284,AVW82280,AVW82276,AVW82268,AVW82260,AVW82256,AVW82252,ASH89412,AQA26423,AQA26420,AIC33030	ATD50845__MF085373.1_Species 9
AGZ93685__KF792837.1	KF792837.1_Feline bocaparvovirus 2	1417756	Feline bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 4	KF792837.1	Bocaparvovirus	Carnivore bocaparvovirus 4	KF792837.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 4	AGZ93685	KF792837.1	BAU88511,BAU88510,YP_008802580,AGZ93685,BAU88512	AGZ93685__KF792837.1_Species 9
ALA40028__KT329428.1	KT329428.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KT329428.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KT329428.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ALA40028	KT329428.1	ALA40028,CAA54352	ALA40028__KT329428.1_Species 21
AUF34951__MG383448.1	MG383448.1_Human bocavirus	329641	Human bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MG383448.1	Bocaparvovirus	unclassified Bocaparvovirus	MG383448.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AUF34951	MG383448.1	AUF34951	AUF34951__MG383448.1_Species 10
AGS15085__KF206166.1	KF206166.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206166.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206166.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15085	KF206166.1	AGS15085	AGS15085__KF206166.1_Species 8
AIZ50117__KP120516.1	KP120516.1_Slow loris parvovirus 1	1581151	Slow loris parvovirus 1	Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae	KP120516.1	undef	unclassified Parvoviridae	KP120516.1_Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae	AIZ50117	KP120516.1	AIZ50117	AIZ50117__KP120516.1_Species 27
AQS80297__KX981922.1	KX981922.1_Skunk amdoparvovirus	1961072	Skunk amdoparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 4	KX981922.1	Amdoparvovirus	Carnivore amdoparvovirus 4	KX981922.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 4	AQS80297	KX981922.1	AQS80297,AQS80364,AQS80363,AQS80356,AQS80355,AQS80354,AQS80353,AQS80352,AQS80351,AQS80350,AQS80341,AQS80339,AQS80336,AQS80335,AQS80333,AQS80332,AQS80331,AQS80329,AQS80328,AQS80327,AQS80326,AQS80325,AQS80324,AQS80323,AQS80322	AQS80297__KX981922.1_Species 21
AUD40071__MF464268.1	MF464268.1_Himalayan marmot bocaparvovirus 1	2059413	Himalayan marmot bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF464268.1	Bocaparvovirus	unclassified Bocaparvovirus	MF464268.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AUD40071	MF464268.1	AUD40071	AUD40071__MF464268.1_Species 9
AES86015__JN648103.1	JN648103.1_Canine bocavirus 1	1511885	Canine bocavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 2	JN648103.1	Bocaparvovirus	Carnivore bocaparvovirus 2	JN648103.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 2	AES86015	JN648103.1	AVD96862,ARJ58621,AKG54784,AKG54762,AKG54757,AIK02195,AKG54796,AKG54779,AKG54767,AKG54790,AKG54773,YP_007518454,AES86015,AFH96896,AFH96890,AFH96884,AFH96902	AES86015__JN648103.1_Species 9
AME15895__KT878959.1	KT878959.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KT878959.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KT878959.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	AME15895	KT878959.1	AME15895,AME15915,AIZ65649	AME15895__KT878959.1_Species 21
